age,gender,occupation,daily_screen_time_hours,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day
20,Male,Designer,2.09,6.96,8.54,4.18,0,40,287
54,Male,Student,9.43,8.47,3.12,10.0,3,115,136
24,Other,Software Engineer,6.2,8.38,8.36,5.59,3,2,148
38,Female,Doctor,1.83,8.09,7.94,2.37,0,70,106
26,Female,Researcher,2.99,6.58,7.57,4.56,4,0,265
56,Male,Designer,7.53,4.33,6.57,8.33,4,48,103
35,Male,Freelancer,1.26,5.67,8.39,1.5,4,109,97
21,Male,Software Engineer,7.53,7.11,5.33,10.0,1,34,291
42,Male,Researcher,9.2,7.19,2.99,10.0,2,34,32
31,Female,Designer,1.51,8.25,5.44,7.76,3,48,44
26,Female,Doctor,2.68,5.9,7.08,3.92,1,61,153
43,Female,Student,1.02,8.68,9.37,1.0,2,15,36
19,Male,Manager,1.98,4.82,7.73,1.91,3,64,227
37,Female,Freelancer,6.55,4.25,5.36,6.51,4,1,145
45,Female,Manager,1.4,4.88,7.55,4.85,0,1,272
24,Female,Doctor,4.83,6.31,5.72,6.43,1,66,83
25,Female,Researcher,5.53,8.11,7.31,6.43,0,58,170
52,Other,Researcher,9.16,4.77,3.95,10.0,4,41,298
31,Female,Teacher,5.27,6.74,5.41,9.21,2,98,113
34,Male,Manager,2.28,7.88,9.68,1.53,0,31,157
53,Male,Designer,3.6,4.17,8.47,4.19,0,15,91
57,Other,Software Engineer,7.05,4.21,4.78,9.74,2,108,226
21,Female,Software Engineer,2.01,6.45,7.69,4.65,1,48,293
19,Male,Freelancer,3.09,4.91,7.12,6.38,1,52,274
23,Male,Manager,9.96,6.25,3.07,10.0,3,65,299
59,Female,Doctor,1.05,4.22,8.49,3.0,3,36,297
21,Other,Freelancer,2.37,8.88,8.71,2.43,4,52,59
46,Male,Doctor,8.59,7.27,4.77,10.0,2,50,232
35,Female,Doctor,1.91,7.43,10.0,1.0,2,75,234
43,Female,Software Engineer,1.3,6.55,7.06,3.94,3,65,244
51,Male,Student,2.09,8.12,7.27,3.83,1,87,29
27,Male,Software Engineer,7.24,8.17,6.62,9.1,1,1,114
53,Female,Student,9.94,4.8,4.61,10.0,3,1,240
31,Female,Freelancer,6.32,7.84,4.45,9.38,2,28,172
48,Female,Freelancer,2.12,6.83,7.36,4.44,0,65,151
32,Female,Freelancer,2.65,7.81,5.83,6.45,0,14,293
25,Male,Doctor,5.84,8.59,6.22,6.97,4,105,112
31,Female,Researcher,7.44,5.68,5.68,9.92,1,101,225
40,Male,Teacher,6.97,6.85,6.03,10.0,2,114,293
57,Male,Software Engineer,6.17,7.94,6.07,8.04,1,44,28
38,Male,Researcher,9.88,8.93,4.67,10.0,0,84,181
33,Male,Doctor,2.78,7.06,8.78,3.19,2,82,56
35,Female,Software Engineer,2.56,7.61,7.56,4.87,3,79,159
41,Female,Doctor,8.73,8.23,3.68,10.0,0,70,51
43,Female,Software Engineer,3.62,7.76,6.81,6.02,0,28,129
42,Male,Designer,3.99,8.71,7.77,4.32,2,82,251
58,Female,Software Engineer,5.94,5.15,5.61,9.2,1,32,48
46,Female,Designer,4.43,8.54,6.0,7.39,0,87,89
32,Female,Researcher,3.59,5.04,7.2,5.67,4,50,276
18,Female,Student,9.25,6.83,4.13,10.0,0,112,166
42,Male,Software Engineer,2.16,6.61,7.16,4.26,1,82,276
24,Male,Student,4.64,8.16,5.68,7.51,3,4,113
26,Male,Teacher,1.03,5.99,8.91,2.71,0,36,228
41,Female,Manager,8.27,4.72,3.61,10.0,2,88,76
18,Other,Manager,2.52,7.53,6.58,5.06,1,2,31
25,Male,Designer,7.96,7.03,5.31,9.51,0,91,138
41,Male,Researcher,2.34,8.14,6.57,3.26,3,89,53
28,Male,Researcher,4.75,7.79,5.36,8.04,2,10,100
34,Female,Software Engineer,7.55,8.47,3.5,10.0,4,10,92
25,Male,Manager,3.44,8.2,8.3,4.38,0,6,28
52,Male,Student,3.83,7.43,8.8,2.74,0,89,129
52,Male,Manager,7.01,6.33,6.68,9.17,1,110,293
50,Female,Manager,2.69,4.1,7.48,5.46,3,67,232
22,Female,Doctor,9.57,5.54,3.15,10.0,1,18,22
59,Female,Manager,2.7,7.64,7.08,5.0,4,33,56
56,Male,Student,7.75,4.3,5.19,9.21,4,9,285
58,Male,Manager,8.22,7.78,4.2,10.0,0,1,291
45,Male,Software Engineer,4.37,6.58,5.54,8.33,4,70,57
24,Male,Manager,2.41,8.34,8.31,3.28,2,107,151
26,Male,Teacher,2.49,7.3,7.86,2.57,0,34,148
25,Male,Manager,9.87,7.99,4.84,10.0,2,31,273
29,Female,Designer,7.53,4.86,5.73,9.16,4,14,134
51,Male,Researcher,5.05,4.86,5.43,8.59,1,11,199
50,Male,Doctor,3.32,5.06,7.51,4.53,0,62,195
40,Female,Freelancer,1.17,5.67,7.7,1.0,1,110,234
41,Female,Student,7.03,8.52,5.77,7.95,0,107,184
54,Female,Researcher,9.61,7.87,4.87,10.0,1,76,91
52,Female,Researcher,1.96,5.82,8.95,1.49,3,42,132
57,Male,Manager,7.79,8.59,4.85,9.32,0,71,65
39,Female,Manager,2.38,7.89,8.02,4.21,0,102,143
44,Female,Software Engineer,8.13,7.28,5.36,10.0,2,84,61
52,Male,Freelancer,4.34,6.18,8.14,3.61,3,26,145
18,Male,Software Engineer,7.41,7.26,5.58,10.0,1,54,180
52,Female,Designer,9.34,6.97,4.78,10.0,3,80,236
54,Male,Freelancer,6.58,7.91,6.17,8.59,1,74,195
31,Male,Researcher,9.29,5.13,2.97,10.0,0,71,182
20,Male,Doctor,3.12,8.43,7.22,4.68,2,31,294
18,Male,Student,9.8,6.96,4.08,10.0,1,9,101
22,Male,Student,8.86,8.03,3.13,10.0,0,34,21
43,Male,Researcher,1.97,5.74,8.26,3.9,4,118,31
31,Male,Student,4.72,5.96,6.05,7.01,4,91,227
56,Male,Designer,9.34,8.69,5.88,10.0,4,95,145
44,Female,Designer,1.7,7.11,8.25,1.44,0,3,75
26,Male,Manager,5.08,5.59,4.89,7.36,0,113,93
32,Female,Doctor,7.51,4.41,5.19,10.0,1,90,180
32,Female,Student,1.3,6.17,7.01,2.72,2,115,163
43,Female,Student,7.78,8.25,5.9,9.21,1,38,177
59,Female,Manager,4.25,5.26,9.24,2.96,3,42,193
30,Male,Doctor,3.24,8.3,8.06,3.8,0,17,84
49,Male,Freelancer,6.18,4.81,5.41,8.14,0,31,279
56,Female,Doctor,5.9,4.65,7.47,5.21,2,68,134
49,Male,Doctor,8.87,7.03,4.47,10.0,1,117,282
21,Female,Researcher,7.08,8.02,4.35,10.0,1,100,113
47,Female,Software Engineer,4.8,7.9,7.21,4.54,0,27,201
54,Male,Doctor,6.85,6.72,4.95,10.0,4,38,218
40,Female,Teacher,7.75,7.19,5.66,8.53,1,76,141
56,Female,Designer,9.44,5.29,5.53,10.0,3,85,227
32,Male,Doctor,7.34,6.76,8.69,5.23,4,26,259
46,Male,Software Engineer,5.89,5.04,4.83,9.99,4,52,178
53,Female,Researcher,4.36,8.64,7.46,5.3,1,8,104
30,Female,Researcher,9.02,7.39,4.61,10.0,4,90,286
49,Male,Freelancer,8.13,6.82,5.73,10.0,3,50,49
24,Male,Teacher,1.69,5.24,7.36,4.11,1,80,134
39,Female,Software Engineer,7.3,6.04,6.03,8.76,2,11,199
45,Female,Software Engineer,5.85,7.9,5.6,7.92,1,11,249
19,Female,Manager,1.93,5.2,10.0,1.0,0,98,95
59,Other,Software Engineer,6.08,4.64,5.91,9.63,2,119,125
23,Male,Software Engineer,2.73,5.54,7.04,3.84,1,91,209
45,Male,Student,7.37,7.97,5.66,9.98,4,29,221
45,Female,Designer,3.51,8.42,5.62,6.77,0,26,290
37,Female,Manager,2.35,6.07,8.81,1.03,0,42,138
47,Male,Manager,1.74,7.91,7.75,2.57,2,95,223
28,Male,Student,5.42,5.66,6.61,7.38,3,57,292
45,Female,Teacher,2.8,6.54,7.43,3.37,0,52,140
42,Male,Student,8.7,4.1,3.87,10.0,1,101,172
56,Female,Manager,1.03,7.56,7.89,3.34,4,103,132
50,Male,Teacher,8.59,7.59,3.78,10.0,2,5,31
18,Male,Manager,5.69,4.5,9.19,5.63,3,94,64
44,Male,Doctor,9.3,5.79,2.76,10.0,4,116,98
30,Female,Teacher,2.84,6.42,9.77,1.0,3,0,282
58,Female,Manager,1.92,7.87,8.2,2.15,2,42,138
20,Female,Student,6.62,8.12,4.92,9.76,2,20,217
56,Female,Manager,7.36,7.6,4.8,9.59,3,75,192
23,Male,Student,4.35,5.08,7.48,6.43,0,11,248
25,Male,Teacher,1.12,5.78,10.0,1.0,2,119,217
44,Female,Student,4.66,5.24,4.34,9.22,3,100,262
26,Female,Teacher,3.1,7.19,6.96,4.55,0,45,261
54,Female,Software Engineer,4.13,7.24,7.94,4.13,0,85,146
50,Female,Designer,5.56,4.08,6.51,6.48,2,37,102
59,Male,Freelancer,7.32,7.66,5.46,8.39,1,50,66
41,Male,Teacher,9.67,5.15,2.71,10.0,3,79,98
32,Female,Freelancer,2.3,8.01,8.17,4.45,4,75,174
49,Male,Researcher,7.12,8.16,5.9,10.0,1,102,241
49,Male,Freelancer,3.1,7.98,6.74,5.66,0,44,24
41,Female,Software Engineer,2.99,6.04,7.33,4.76,4,13,170
58,Male,Software Engineer,6.7,5.74,6.76,7.43,1,8,193
29,Female,Software Engineer,7.98,6.18,6.14,8.26,0,1,212
56,Male,Freelancer,9.8,6.64,4.16,10.0,4,28,220
19,Female,Software Engineer,7.92,5.25,6.36,8.92,4,60,164
20,Female,Teacher,2.42,8.66,8.04,2.47,0,34,33
54,Female,Freelancer,3.03,6.52,7.16,6.73,2,85,34
34,Male,Freelancer,7.85,4.37,5.91,10.0,0,68,61
19,Male,Researcher,5.74,8.99,5.62,8.83,3,4,189
19,Male,Student,3.66,6.42,8.22,3.09,0,43,136
45,Male,Software Engineer,5.25,8.73,7.1,5.55,3,49,237
40,Female,Doctor,9.23,5.95,6.2,8.88,4,54,217
54,Male,Software Engineer,7.8,5.12,6.06,10.0,0,83,294
49,Male,Researcher,5.06,7.68,5.41,6.8,1,96,197
50,Male,Student,9.82,6.16,3.85,10.0,0,43,127
18,Female,Student,8.15,8.41,5.14,10.0,2,68,298
36,Male,Designer,1.05,6.32,8.8,1.75,0,61,157
19,Female,Designer,2.01,5.69,9.71,1.0,0,6,65
43,Female,Freelancer,5.99,8.83,6.3,8.27,4,68,208
49,Female,Software Engineer,4.15,8.15,7.37,7.16,2,0,268
23,Female,Software Engineer,8.31,5.03,3.81,10.0,0,82,289
49,Male,Manager,9.06,6.44,5.42,9.93,1,72,240
21,Female,Freelancer,3.17,4.57,7.36,5.88,4,80,273
28,Female,Manager,7.87,4.54,4.07,10.0,3,38,41
34,Female,Designer,5.82,8.27,6.16,6.62,2,8,130
55,Female,Software Engineer,4.53,8.66,4.71,10.0,2,51,292
41,Male,Manager,8.08,7.69,3.29,10.0,4,79,197
22,Male,Doctor,6.08,8.95,7.15,7.44,3,82,53
51,Female,Teacher,6.72,4.23,9.0,4.13,4,110,187
23,Female,Designer,1.56,5.66,10.0,1.85,2,77,284
39,Male,Designer,6.27,4.66,5.8,7.37,4,99,172
28,Male,Student,3.71,7.91,8.6,3.39,4,35,239
33,Male,Software Engineer,5.44,8.45,9.44,3.39,4,43,257
50,Female,Designer,3.0,6.24,6.75,3.45,2,66,121
26,Female,Designer,6.53,8.15,4.59,8.72,0,25,151
23,Female,Researcher,2.33,8.24,8.68,2.64,3,110,127
33,Male,Manager,2.11,4.7,10.0,1.0,2,10,37
46,Male,Doctor,2.7,5.88,7.73,2.33,0,42,144
20,Male,Freelancer,8.36,4.94,5.66,9.94,3,27,246
37,Male,Software Engineer,1.3,7.35,8.57,4.49,4,39,35
53,Female,Researcher,7.57,5.94,3.5,10.0,0,106,279
36,Male,Teacher,1.51,7.34,7.36,4.6,1,118,248
43,Female,Doctor,6.33,8.38,6.16,8.11,3,10,209
20,Female,Teacher,7.96,6.06,7.62,7.8,0,11,222
36,Female,Student,3.08,8.86,4.89,7.04,3,41,142
37,Male,Designer,2.76,6.04,10.0,1.62,4,90,99
49,Male,Manager,3.6,5.07,7.74,3.54,1,75,42
24,Male,Doctor,7.3,6.65,4.57,10.0,0,32,270
58,Female,Researcher,3.29,6.0,7.73,3.38,2,4,261
50,Female,Teacher,5.52,4.63,5.77,7.28,3,20,109
57,Male,Software Engineer,2.21,4.12,10.0,1.0,0,29,174
56,Male,Student,5.15,7.72,6.0,7.33,4,32,295
35,Female,Researcher,6.62,8.66,3.7,9.46,3,73,192
57,Female,Freelancer,1.65,6.2,8.7,2.58,0,0,107
18,Other,Student,8.34,4.33,4.22,10.0,4,28,137
28,Male,Designer,9.44,7.7,3.65,10.0,3,70,165
45,Male,Designer,2.74,8.34,7.1,3.02,4,50,254
42,Male,Teacher,7.83,5.62,4.52,10.0,0,96,281
40,Male,Teacher,3.82,5.11,7.49,6.51,0,64,290
48,Female,Student,7.09,5.69,6.24,9.32,2,94,249
47,Male,Teacher,3.76,8.54,9.27,3.94,4,47,180
59,Male,Designer,8.76,6.09,5.68,9.58,3,32,252
52,Female,Student,4.12,7.27,7.29,5.81,3,2,291
24,Male,Student,8.64,4.37,4.16,9.94,2,94,296
33,Female,Freelancer,7.9,5.41,6.97,7.15,1,65,62
43,Male,Software Engineer,2.77,5.14,6.4,6.45,2,17,186
19,Female,Software Engineer,2.41,4.31,7.94,2.53,3,103,201
18,Male,Teacher,8.02,4.6,5.88,9.47,4,17,92
29,Female,Researcher,4.51,6.08,9.61,3.35,2,87,256
22,Male,Teacher,9.54,6.79,4.81,9.86,4,95,217
54,Male,Researcher,9.49,5.56,4.0,10.0,1,87,193
49,Female,Designer,7.24,6.1,5.29,10.0,3,72,193
26,Male,Researcher,5.51,7.8,6.98,8.75,1,11,285
58,Male,Designer,2.75,5.24,8.46,4.13,4,26,201
52,Female,Software Engineer,8.94,4.17,5.96,10.0,1,58,175
36,Female,Student,1.74,5.28,9.24,2.19,0,102,152
33,Male,Doctor,4.33,8.61,7.6,5.83,4,68,265
20,Male,Manager,3.87,4.09,7.46,5.4,2,34,90
37,Male,Manager,9.63,4.64,1.0,10.0,4,25,233
41,Male,Freelancer,2.06,4.33,8.03,4.06,2,9,47
50,Other,Doctor,9.01,5.88,5.12,10.0,1,73,44
41,Female,Researcher,5.11,7.24,6.01,7.33,3,51,273
28,Male,Freelancer,1.43,8.55,8.97,1.0,0,2,46
25,Other,Teacher,7.56,7.97,4.56,7.76,1,76,256
53,Female,Manager,1.91,5.25,8.29,2.26,4,85,27
55,Female,Freelancer,3.13,7.17,8.05,5.02,3,20,251
57,Male,Manager,8.2,7.32,5.68,10.0,2,33,33
37,Male,Doctor,2.39,4.45,8.59,2.9,4,53,277
52,Female,Freelancer,3.93,6.14,4.23,8.93,1,116,267
42,Male,Doctor,4.25,5.56,4.35,9.05,1,25,214
52,Male,Software Engineer,6.3,4.79,5.75,10.0,3,9,276
42,Male,Student,8.11,4.29,3.01,10.0,4,107,45
46,Male,Designer,3.08,4.14,7.2,3.93,4,19,236
35,Female,Researcher,2.85,8.29,6.27,5.98,2,54,285
35,Female,Software Engineer,3.0,5.65,7.11,5.29,1,80,78
19,Male,Manager,4.43,6.47,4.55,8.43,0,87,235
52,Male,Designer,5.82,5.46,6.49,7.62,1,96,268
33,Female,Software Engineer,1.12,4.83,6.12,6.37,0,106,141
58,Male,Software Engineer,8.02,5.31,4.46,10.0,3,79,128
53,Female,Doctor,9.34,4.85,3.11,10.0,3,46,148
50,Female,Designer,8.59,7.79,5.94,9.31,1,100,85
21,Male,Software Engineer,1.33,8.54,9.18,1.0,1,48,162
50,Female,Doctor,5.72,6.17,6.29,6.75,0,97,288
31,Female,Teacher,8.33,8.11,5.6,10.0,1,106,173
38,Male,Designer,4.1,6.13,5.67,6.99,3,61,107
37,Male,Researcher,9.07,6.23,5.41,10.0,3,7,136
25,Other,Freelancer,8.98,6.43,3.59,10.0,2,14,20
24,Male,Software Engineer,2.28,8.1,8.33,2.9,0,12,24
20,Female,Manager,5.44,8.68,5.34,9.57,4,24,188
34,Female,Teacher,1.23,7.72,9.26,2.13,1,44,72
50,Male,Doctor,3.54,8.44,8.31,2.89,3,48,166
29,Male,Software Engineer,8.31,7.21,5.71,10.0,0,41,76
39,Female,Manager,9.78,8.2,3.54,10.0,2,27,285
39,Male,Doctor,9.22,6.78,5.64,10.0,0,60,240
47,Female,Doctor,1.38,7.86,7.8,3.26,1,38,115
55,Female,Freelancer,9.34,7.53,3.16,10.0,4,115,224
55,Female,Manager,8.4,7.75,5.32,8.87,0,99,281
25,Male,Doctor,8.81,5.17,4.32,10.0,1,37,55
44,Female,Designer,9.23,4.77,4.63,10.0,2,9,134
44,Female,Freelancer,5.39,7.27,6.26,5.74,0,79,79
51,Female,Teacher,2.9,6.41,9.23,2.37,1,51,208
38,Male,Freelancer,1.19,7.82,7.19,3.52,0,76,30
47,Female,Teacher,1.21,4.73,7.25,6.33,0,93,143
50,Female,Student,6.78,8.74,4.64,8.34,2,58,34
45,Male,Freelancer,4.04,7.52,6.12,6.3,0,12,228
50,Other,Freelancer,5.46,4.11,5.54,7.5,2,24,241
22,Male,Researcher,2.18,6.88,10.0,1.0,0,104,297
36,Male,Software Engineer,9.78,5.56,3.49,10.0,3,54,226
21,Female,Freelancer,2.17,5.37,7.39,5.84,4,16,278
52,Male,Doctor,5.0,8.51,7.45,5.15,4,5,104
34,Female,Researcher,4.99,8.18,8.19,6.16,3,20,198
45,Female,Software Engineer,1.08,4.05,9.79,1.58,4,20,198
47,Male,Researcher,7.01,4.91,6.73,8.3,2,27,129
46,Male,Researcher,5.84,7.6,8.39,5.39,1,75,156
23,Female,Teacher,5.48,8.24,6.5,8.3,2,71,147
52,Female,Teacher,8.36,7.59,5.64,10.0,1,100,200
58,Female,Doctor,3.17,6.63,6.92,5.68,2,82,169
54,Female,Designer,8.75,8.92,2.26,10.0,2,110,183
41,Male,Manager,8.78,7.99,2.76,10.0,1,62,202
46,Male,Doctor,8.44,6.34,5.13,10.0,3,81,116
48,Female,Doctor,4.07,6.92,5.63,7.26,3,19,195
52,Female,Student,2.46,4.22,7.94,3.15,3,75,104
50,Male,Manager,5.28,8.82,7.87,6.57,3,4,264
38,Female,Researcher,3.34,5.81,8.28,5.0,2,22,41
49,Female,Researcher,1.47,7.31,10.0,1.0,2,106,77
40,Female,Freelancer,3.52,7.33,7.23,5.6,0,83,86
50,Male,Researcher,5.22,4.28,7.17,7.19,4,8,204
20,Female,Designer,2.01,5.33,9.04,1.18,0,86,279
35,Female,Researcher,9.5,7.28,3.64,10.0,4,101,131
42,Female,Software Engineer,6.9,8.56,5.24,9.11,4,8,255
59,Female,Manager,2.23,7.89,6.91,4.89,2,103,160
48,Female,Designer,8.31,6.9,4.67,10.0,3,51,248
20,Female,Doctor,9.35,5.16,3.43,10.0,1,28,143
57,Other,Doctor,3.37,8.74,8.13,4.78,2,36,181
41,Male,Doctor,2.29,6.02,6.08,5.75,1,29,68
49,Male,Doctor,3.9,4.75,7.25,5.05,0,76,63
39,Female,Doctor,8.49,4.11,6.41,8.59,3,90,283
40,Male,Manager,2.58,8.75,7.43,5.56,0,16,294
19,Male,Freelancer,8.01,7.89,5.66,9.07,3,49,261
44,Male,Manager,7.45,5.08,5.52,8.62,2,3,28
59,Male,Freelancer,6.86,4.71,7.87,5.16,1,66,78
19,Male,Manager,4.9,8.8,5.38,8.64,3,108,257
43,Male,Designer,4.3,5.2,6.79,5.86,4,45,191
34,Other,Doctor,1.77,6.31,7.94,3.41,2,107,130
57,Female,Teacher,4.22,7.05,5.77,7.72,2,18,256
50,Female,Manager,6.42,4.31,5.58,8.64,3,0,93
26,Male,Teacher,9.08,5.72,3.64,10.0,3,71,80
56,Female,Researcher,8.5,8.72,3.98,10.0,0,65,276
46,Female,Student,1.29,7.5,8.0,1.26,2,51,273
59,Female,Researcher,2.25,5.84,7.22,5.87,4,119,48
43,Male,Software Engineer,8.64,7.96,3.5,10.0,1,98,50
52,Male,Manager,9.45,8.19,4.28,10.0,4,2,254
42,Female,Teacher,1.5,4.76,7.87,4.1,1,80,109
41,Female,Student,7.31,6.93,5.13,8.02,0,43,143
30,Female,Designer,4.29,5.83,5.23,8.98,3,114,264
24,Female,Software Engineer,4.28,6.53,6.41,5.8,1,102,261
53,Male,Freelancer,6.78,6.35,4.74,10.0,4,30,259
37,Female,Researcher,8.29,6.52,4.92,10.0,3,9,242
18,Male,Doctor,3.47,6.61,5.4,4.81,4,73,164
25,Female,Manager,7.35,4.35,6.57,7.24,0,81,259
33,Other,Manager,6.72,4.89,5.2,9.15,0,53,135
31,Female,Doctor,5.66,6.83,4.9,8.94,4,102,144
29,Male,Researcher,6.42,8.68,8.1,5.95,4,51,299
40,Male,Researcher,1.16,7.73,8.0,3.07,4,57,77
32,Female,Freelancer,1.04,5.19,8.23,1.0,1,68,38
45,Female,Designer,5.95,5.81,6.54,7.74,2,69,260
51,Female,Software Engineer,5.72,5.68,4.59,7.84,2,57,140
19,Female,Manager,1.64,7.85,8.8,3.34,2,30,65
49,Male,Teacher,5.43,8.86,6.27,5.76,1,35,70
40,Female,Researcher,7.82,5.78,4.96,10.0,2,13,117
39,Female,Freelancer,5.87,4.07,5.76,7.65,2,96,22
42,Other,Researcher,5.66,8.68,7.01,6.06,2,92,82
39,Male,Software Engineer,7.46,7.77,4.65,10.0,4,82,164
39,Female,Student,2.55,8.17,5.4,6.8,1,73,230
59,Male,Freelancer,5.12,5.04,6.43,8.05,4,86,265
23,Female,Researcher,2.33,7.23,7.65,3.91,4,40,269
32,Female,Manager,5.71,5.16,4.65,9.45,3,7,82
54,Male,Designer,6.33,4.06,5.77,9.15,1,87,96
50,Male,Freelancer,2.1,4.79,9.02,2.17,0,69,28
25,Female,Teacher,1.68,8.61,9.74,3.09,1,100,177
22,Female,Software Engineer,2.5,5.08,7.2,3.29,2,90,43
56,Male,Freelancer,6.28,6.93,7.5,6.53,0,31,203
21,Male,Software Engineer,2.71,8.84,5.36,7.74,4,42,226
23,Female,Teacher,3.48,4.38,7.02,3.55,1,29,202
49,Female,Student,7.32,8.04,7.39,7.01,2,46,69
47,Male,Student,3.24,6.99,7.63,2.53,0,2,179
52,Female,Freelancer,4.58,5.62,8.0,4.66,3,9,154
57,Male,Software Engineer,9.36,5.82,5.64,10.0,3,81,280
33,Male,Doctor,8.42,4.14,6.49,8.04,1,76,146
30,Male,Teacher,3.3,5.28,6.36,5.8,3,16,156
59,Female,Researcher,6.38,6.12,4.89,8.34,2,79,280
47,Male,Manager,6.99,7.58,5.96,9.12,0,84,190
36,Female,Researcher,9.1,5.37,4.71,10.0,1,75,167
34,Male,Freelancer,5.93,6.9,5.62,8.88,2,79,265
36,Other,Student,6.05,7.66,5.53,8.4,1,59,261
45,Female,Manager,9.0,7.49,4.5,10.0,3,13,155
43,Female,Student,1.49,6.95,9.11,1.0,2,9,243
54,Female,Student,6.65,6.9,3.4,10.0,3,16,95
43,Female,Designer,4.75,7.61,6.21,5.44,3,18,109
40,Female,Freelancer,9.19,5.68,4.49,10.0,2,8,207
26,Male,Manager,9.64,6.25,5.1,10.0,0,63,295
29,Male,Doctor,2.53,8.83,6.0,4.18,4,45,224
18,Female,Student,3.53,7.34,6.05,5.78,0,58,245
18,Male,Doctor,3.46,6.6,9.89,2.88,0,69,291
51,Male,Software Engineer,1.91,6.89,6.42,5.88,0,119,168
49,Female,Software Engineer,5.35,4.52,7.38,6.42,1,47,143
42,Male,Researcher,5.62,6.96,6.52,6.06,4,81,266
57,Female,Researcher,6.16,8.18,6.96,8.34,1,96,105
18,Male,Designer,6.97,6.62,5.2,9.31,1,4,242
33,Other,Researcher,1.57,4.88,8.33,4.03,3,117,104
56,Female,Doctor,6.6,6.24,6.67,8.19,1,62,222
22,Female,Teacher,9.22,5.39,3.71,10.0,0,27,296
39,Male,Designer,5.09,5.8,6.76,6.6,0,42,191
46,Female,Student,1.96,5.13,9.11,2.62,3,7,100
20,Female,Software Engineer,1.77,5.67,6.2,6.27,4,33,145
29,Female,Researcher,3.54,8.11,7.15,4.64,2,108,219
43,Female,Freelancer,7.77,7.79,4.14,10.0,2,79,89
33,Male,Software Engineer,3.35,6.45,7.66,4.51,4,40,176
54,Female,Teacher,8.33,7.91,4.04,10.0,4,77,140
39,Female,Designer,8.38,8.88,8.05,8.77,1,51,271
46,Male,Doctor,5.11,6.03,9.03,3.82,1,16,153
31,Female,Freelancer,3.71,8.9,5.72,8.05,1,112,25
45,Female,Software Engineer,6.38,5.23,4.91,9.97,0,4,174
22,Female,Student,8.29,8.77,5.72,10.0,4,28,34
47,Male,Teacher,1.58,8.32,8.01,4.28,4,18,107
22,Female,Teacher,9.58,5.0,2.9,10.0,1,118,219
29,Other,Manager,6.81,5.75,4.94,10.0,4,25,245
33,Female,Teacher,4.58,7.54,8.83,5.72,0,92,86
43,Female,Student,5.55,4.96,5.75,8.39,4,74,136
43,Female,Teacher,4.47,6.95,5.28,3.99,2,43,133
38,Female,Researcher,4.71,6.67,5.79,6.8,0,24,28
56,Female,Doctor,6.36,5.46,5.58,9.6,1,92,294
53,Male,Manager,1.54,5.5,9.98,1.0,3,17,42
50,Male,Researcher,2.58,6.58,7.21,3.47,2,92,57
47,Male,Doctor,3.04,5.5,7.73,3.46,0,38,259
54,Male,Freelancer,4.67,4.9,6.46,7.31,3,116,34
40,Male,Designer,4.34,7.87,8.06,3.69,0,103,134
27,Male,Designer,7.5,6.91,4.53,10.0,2,40,197
