age,gender,occupation,daily_screen_time_hours,sleep_duration_hours,stress_level,caffeine_intake_cups
41,Female,Student,7.03,8.52,7.95,0
54,Female,Researcher,9.61,7.87,10.0,1
52,Female,Researcher,1.96,5.82,1.49,3
57,Male,Manager,7.79,8.59,9.32,0
39,Female,Manager,2.38,7.89,4.21,0
44,Female,Software Engineer,8.13,7.28,10.0,2
52,Male,Freelancer,4.34,6.18,3.61,3
18,Male,Software Engineer,7.41,7.26,10.0,1
52,Female,Designer,9.34,6.97,10.0,3
54,Male,Freelancer,6.58,7.91,8.59,1
31,Male,Researcher,9.29,5.13,10.0,0
20,Male,Doctor,3.12,8.43,4.68,2
18,Male,Student,9.8,6.96,10.0,1
22,Male,Student,8.86,8.03,10.0,0
43,Male,Researcher,1.97,5.74,3.9,4
31,Male,Student,4.72,5.96,7.01,4
56,Male,Designer,9.34,8.69,10.0,4
44,Female,Designer,1.7,7.11,1.44,0
26,Male,Manager,5.08,5.59,7.36,0
32,Female,Doctor,7.51,4.41,10.0,1
32,Female,Student,1.3,6.17,2.72,2
43,Female,Student,7.78,8.25,9.21,1
59,Female,Manager,4.25,5.26,2.96,3
30,Male,Doctor,3.24,8.3,3.8,0
49,Male,Freelancer,6.18,4.81,8.14,0
56,Female,Doctor,5.9,4.65,5.21,2
49,Male,Doctor,8.87,7.03,10.0,1
21,Female,Researcher,7.08,8.02,10.0,1
47,Female,Software Engineer,4.8,7.9,4.54,0
54,Male,Doctor,6.85,6.72,10.0,4
40,Female,Teacher,7.75,7.19,8.53,1
56,Female,Designer,9.44,5.29,10.0,3
32,Male,Doctor,7.34,6.76,5.23,4
46,Male,Software Engineer,5.89,5.04,9.99,4
53,Female,Researcher,4.36,8.64,5.3,1
30,Female,Researcher,9.02,7.39,10.0,4
49,Male,Freelancer,8.13,6.82,10.0,3
24,Male,Teacher,1.69,5.24,4.11,1
39,Female,Software Engineer,7.3,6.04,8.76,2
45,Female,Software Engineer,5.85,7.9,7.92,1
19,Female,Manager,1.93,5.2,1.0,0
59,Other,Software Engineer,6.08,4.64,9.63,2
23,Male,Software Engineer,2.73,5.54,3.84,1
45,Male,Student,7.37,7.97,9.98,4
45,Female,Designer,3.51,8.42,6.77,0
37,Female,Manager,2.35,6.07,1.03,0
47,Male,Manager,1.74,7.91,2.57,2
28,Male,Student,5.42,5.66,7.38,3
45,Female,Teacher,2.8,6.54,3.37,0
42,Male,Student,8.7,4.1,10.0,1
56,Female,Manager,1.03,7.56,3.34,4
50,Male,Teacher,8.59,7.59,10.0,2
18,Male,Manager,5.69,4.5,5.63,3
44,Male,Doctor,9.3,5.79,10.0,4
30,Female,Teacher,2.84,6.42,1.0,3
58,Female,Manager,1.92,7.87,2.15,2
20,Female,Student,6.62,8.12,9.76,2
56,Female,Manager,7.36,7.6,9.59,3
23,Male,Student,4.35,5.08,6.43,0
25,Male,Teacher,1.12,5.78,1.0,2
44,Female,Student,4.66,5.24,9.22,3
26,Female,Teacher,3.1,7.19,4.55,0
54,Female,Software Engineer,4.13,7.24,4.13,0
50,Female,Designer,5.56,4.08,6.48,2
59,Male,Freelancer,7.32,7.66,8.39,1
41,Male,Teacher,9.67,5.15,10.0,3
32,Female,Freelancer,2.3,8.01,4.45,4
49,Male,Researcher,7.12,8.16,10.0,1
49,Male,Freelancer,3.1,7.98,5.66,0
41,Female,Software Engineer,2.99,6.04,4.76,4
58,Male,Software Engineer,6.7,5.74,7.43,1
29,Female,Software Engineer,7.98,6.18,8.26,0
56,Male,Freelancer,9.8,6.64,10.0,4
19,Female,Software Engineer,7.92,5.25,8.92,4
20,Female,Teacher,2.42,8.66,2.47,0
54,Female,Freelancer,3.03,6.52,6.73,2
34,Male,Freelancer,7.85,4.37,10.0,0
19,Male,Researcher,5.74,8.99,8.83,3
19,Male,Student,3.66,6.42,3.09,0
45,Male,Software Engineer,5.25,8.73,5.55,3
40,Female,Doctor,9.23,5.95,8.88,4
54,Male,Software Engineer,7.8,5.12,10.0,0
49,Male,Researcher,5.06,7.68,6.8,1
50,Male,Student,9.82,6.16,10.0,0
18,Female,Student,8.15,8.41,10.0,2
36,Male,Designer,1.05,6.32,1.75,0
19,Female,Designer,2.01,5.69,1.0,0
43,Female,Freelancer,5.99,8.83,8.27,4
49,Female,Software Engineer,4.15,8.15,7.16,2
23,Female,Software Engineer,8.31,5.03,10.0,0
49,Male,Manager,9.06,6.44,9.93,1
21,Female,Freelancer,3.17,4.57,5.88,4
28,Female,Manager,7.87,4.54,10.0,3
34,Female,Designer,5.82,8.27,6.62,2
55,Female,Software Engineer,4.53,8.66,10.0,2
41,Male,Manager,8.08,7.69,10.0,4
22,Male,Doctor,6.08,8.95,7.44,3
51,Female,Teacher,6.72,4.23,4.13,4
23,Female,Designer,1.56,5.66,1.85,2
39,Male,Designer,6.27,4.66,7.37,4
28,Male,Student,3.71,7.91,3.39,4
33,Male,Software Engineer,5.44,8.45,3.39,4
50,Female,Designer,3.0,6.24,3.45,2
26,Female,Designer,6.53,8.15,8.72,0
23,Female,Researcher,2.33,8.24,2.64,3
33,Male,Manager,2.11,4.7,1.0,2
46,Male,Doctor,2.7,5.88,2.33,0
20,Male,Freelancer,8.36,4.94,9.94,3
37,Male,Software Engineer,1.3,7.35,4.49,4
53,Female,Researcher,7.57,5.94,10.0,0
36,Male,Teacher,1.51,7.34,4.6,1
43,Female,Doctor,6.33,8.38,8.11,3
20,Female,Teacher,7.96,6.06,7.8,0
36,Female,Student,3.08,8.86,7.04,3
37,Male,Designer,2.76,6.04,1.62,4
49,Male,Manager,3.6,5.07,3.54,1
24,Male,Doctor,7.3,6.65,10.0,0
58,Female,Researcher,3.29,6.0,3.38,2
50,Female,Teacher,5.52,4.63,7.28,3
57,Male,Software Engineer,2.21,4.12,1.0,0
56,Male,Student,5.15,7.72,7.33,4
35,Female,Researcher,6.62,8.66,9.46,3
57,Female,Freelancer,1.65,6.2,2.58,0
18,Other,Student,8.34,4.33,10.0,4
28,Male,Designer,9.44,7.7,10.0,3
45,Male,Designer,2.74,8.34,3.02,4
42,Male,Teacher,7.83,5.62,10.0,0
40,Male,Teacher,3.82,5.11,6.51,0
48,Female,Student,7.09,5.69,9.32,2
47,Male,Teacher,3.76,8.54,3.94,4
59,Male,Designer,8.76,6.09,9.58,3
52,Female,Student,4.12,7.27,5.81,3
24,Male,Student,8.64,4.37,9.94,2
33,Female,Freelancer,7.9,5.41,7.15,1
43,Male,Software Engineer,2.77,5.14,6.45,2
19,Female,Software Engineer,2.41,4.31,2.53,3
18,Male,Teacher,8.02,4.6,9.47,4
29,Female,Researcher,4.51,6.08,3.35,2
22,Male,Teacher,9.54,6.79,9.86,4
54,Male,Researcher,9.49,5.56,10.0,1
49,Female,Designer,7.24,6.1,10.0,3
26,Male,Researcher,5.51,7.8,8.75,1
58,Male,Designer,2.75,5.24,4.13,4
52,Female,Software Engineer,8.94,4.17,10.0,1
36,Female,Student,1.74,5.28,2.19,0
33,Male,Doctor,4.33,8.61,5.83,4
20,Male,Manager,3.87,4.09,5.4,2
37,Male,Manager,9.63,4.64,10.0,4
41,Male,Freelancer,2.06,4.33,4.06,2
50,Other,Doctor,9.01,5.88,10.0,1
41,Female,Researcher,5.11,7.24,7.33,3
28,Male,Freelancer,1.43,8.55,1.0,0
25,Other,Teacher,7.56,7.97,7.76,1
53,Female,Manager,1.91,5.25,2.26,4
55,Female,Freelancer,3.13,7.17,5.02,3
57,Male,Manager,8.2,7.32,10.0,2
37,Male,Doctor,2.39,4.45,2.9,4
52,Female,Freelancer,3.93,6.14,8.93,1
42,Male,Doctor,4.25,5.56,9.05,1
52,Male,Software Engineer,6.3,4.79,10.0,3
42,Male,Student,8.11,4.29,10.0,4
46,Male,Designer,3.08,4.14,3.93,4
35,Female,Researcher,2.85,8.29,5.98,2
35,Female,Software Engineer,3.0,5.65,5.29,1
19,Male,Manager,4.43,6.47,8.43,0
52,Male,Designer,5.82,5.46,7.62,1
33,Female,Software Engineer,1.12,4.83,6.37,0
58,Male,Software Engineer,8.02,5.31,10.0,3
53,Female,Doctor,9.34,4.85,10.0,3
50,Female,Designer,8.59,7.79,9.31,1
21,Male,Software Engineer,1.33,8.54,1.0,1
50,Female,Doctor,5.72,6.17,6.75,0
31,Female,Teacher,8.33,8.11,10.0,1
38,Male,Designer,4.1,6.13,6.99,3
37,Male,Researcher,9.07,6.23,10.0,3
25,Other,Freelancer,8.98,6.43,10.0,2
24,Male,Software Engineer,2.28,8.1,2.9,0
20,Female,Manager,5.44,8.68,9.57,4
34,Female,Teacher,1.23,7.72,2.13,1
50,Male,Doctor,3.54,8.44,2.89,3
29,Male,Software Engineer,8.31,7.21,10.0,0
39,Female,Manager,9.78,8.2,10.0,2
39,Male,Doctor,9.22,6.78,10.0,0
47,Female,Doctor,1.38,7.86,3.26,1
55,Female,Freelancer,9.34,7.53,10.0,4
55,Female,Manager,8.4,7.75,8.87,0
25,Male,Doctor,8.81,5.17,10.0,1
44,Female,Designer,9.23,4.77,10.0,2
44,Female,Freelancer,5.39,7.27,5.74,0
51,Female,Teacher,2.9,6.41,2.37,1
38,Male,Freelancer,1.19,7.82,3.52,0
47,Female,Teacher,1.21,4.73,6.33,0
50,Female,Student,6.78,8.74,8.34,2
45,Male,Freelancer,4.04,7.52,6.3,0
50,Other,Freelancer,5.46,4.11,7.5,2
22,Male,Researcher,2.18,6.88,1.0,0
36,Male,Software Engineer,9.78,5.56,10.0,3
21,Female,Freelancer,2.17,5.37,5.84,4
52,Male,Doctor,5.0,8.51,5.15,4
34,Female,Researcher,4.99,8.18,6.16,3
45,Female,Software Engineer,1.08,4.05,1.58,4
47,Male,Researcher,7.01,4.91,8.3,2
46,Male,Researcher,5.84,7.6,5.39,1
23,Female,Teacher,5.48,8.24,8.3,2
52,Female,Teacher,8.36,7.59,10.0,1
58,Female,Doctor,3.17,6.63,5.68,2
54,Female,Designer,8.75,8.92,10.0,2
41,Male,Manager,8.78,7.99,10.0,1
46,Male,Doctor,8.44,6.34,10.0,3
48,Female,Doctor,4.07,6.92,7.26,3
52,Female,Student,2.46,4.22,3.15,3
50,Male,Manager,5.28,8.82,6.57,3
38,Female,Researcher,3.34,5.81,5.0,2
49,Female,Researcher,1.47,7.31,1.0,2
40,Female,Freelancer,3.52,7.33,5.6,0
50,Male,Researcher,5.22,4.28,7.19,4
20,Female,Designer,2.01,5.33,1.18,0
35,Female,Researcher,9.5,7.28,10.0,4
42,Female,Software Engineer,6.9,8.56,9.11,4
59,Female,Manager,2.23,7.89,4.89,2
48,Female,Designer,8.31,6.9,10.0,3
20,Female,Doctor,9.35,5.16,10.0,1
57,Other,Doctor,3.37,8.74,4.78,2
41,Male,Doctor,2.29,6.02,5.75,1
49,Male,Doctor,3.9,4.75,5.05,0
39,Female,Doctor,8.49,4.11,8.59,3
40,Male,Manager,2.58,8.75,5.56,0
19,Male,Freelancer,8.01,7.89,9.07,3
44,Male,Manager,7.45,5.08,8.62,2
59,Male,Freelancer,6.86,4.71,5.16,1
19,Male,Manager,4.9,8.8,8.64,3
43,Male,Designer,4.3,5.2,5.86,4
34,Other,Doctor,1.77,6.31,3.41,2
57,Female,Teacher,4.22,7.05,7.72,2
50,Female,Manager,6.42,4.31,8.64,3
26,Male,Teacher,9.08,5.72,10.0,3
56,Female,Researcher,8.5,8.72,10.0,0
46,Female,Student,1.29,7.5,1.26,2
59,Female,Researcher,2.25,5.84,5.87,4
43,Male,Software Engineer,8.64,7.96,10.0,1
52,Male,Manager,9.45,8.19,10.0,4
42,Female,Teacher,1.5,4.76,4.1,1
41,Female,Student,7.31,6.93,8.02,0
30,Female,Designer,4.29,5.83,8.98,3
24,Female,Software Engineer,4.28,6.53,5.8,1
53,Male,Freelancer,6.78,6.35,10.0,4
37,Female,Researcher,8.29,6.52,10.0,3
18,Male,Doctor,3.47,6.61,4.81,4
25,Female,Manager,7.35,4.35,7.24,0
33,Other,Manager,6.72,4.89,9.15,0
31,Female,Doctor,5.66,6.83,8.94,4
29,Male,Researcher,6.42,8.68,5.95,4
40,Male,Researcher,1.16,7.73,3.07,4
32,Female,Freelancer,1.04,5.19,1.0,1
45,Female,Designer,5.95,5.81,7.74,2
51,Female,Software Engineer,5.72,5.68,7.84,2
19,Female,Manager,1.64,7.85,3.34,2
49,Male,Teacher,5.43,8.86,5.76,1
40,Female,Researcher,7.82,5.78,10.0,2
39,Female,Freelancer,5.87,4.07,7.65,2
42,Other,Researcher,5.66,8.68,6.06,2
39,Male,Software Engineer,7.46,7.77,10.0,4
39,Female,Student,2.55,8.17,6.8,1
59,Male,Freelancer,5.12,5.04,8.05,4
23,Female,Researcher,2.33,7.23,3.91,4
32,Female,Manager,5.71,5.16,9.45,3
54,Male,Designer,6.33,4.06,9.15,1
50,Male,Freelancer,2.1,4.79,2.17,0
25,Female,Teacher,1.68,8.61,3.09,1
22,Female,Software Engineer,2.5,5.08,3.29,2
56,Male,Freelancer,6.28,6.93,6.53,0
21,Male,Software Engineer,2.71,8.84,7.74,4
23,Female,Teacher,3.48,4.38,3.55,1
49,Female,Student,7.32,8.04,7.01,2
47,Male,Student,3.24,6.99,2.53,0
52,Female,Freelancer,4.58,5.62,4.66,3
57,Male,Software Engineer,9.36,5.82,10.0,3
33,Male,Doctor,8.42,4.14,8.04,1
30,Male,Teacher,3.3,5.28,5.8,3
59,Female,Researcher,6.38,6.12,8.34,2
47,Male,Manager,6.99,7.58,9.12,0
36,Female,Researcher,9.1,5.37,10.0,1
34,Male,Freelancer,5.93,6.9,8.88,2
36,Other,Student,6.05,7.66,8.4,1
45,Female,Manager,9.0,7.49,10.0,3
43,Female,Student,1.49,6.95,1.0,2
54,Female,Student,6.65,6.9,10.0,3
43,Female,Designer,4.75,7.61,5.44,3
40,Female,Freelancer,9.19,5.68,10.0,2
26,Male,Manager,9.64,6.25,10.0,0
29,Male,Doctor,2.53,8.83,4.18,4
18,Female,Student,3.53,7.34,5.78,0
18,Male,Doctor,3.46,6.6,2.88,0
51,Male,Software Engineer,1.91,6.89,5.88,0
49,Female,Software Engineer,5.35,4.52,6.42,1
42,Male,Researcher,5.62,6.96,6.06,4
57,Female,Researcher,6.16,8.18,8.34,1
18,Male,Designer,6.97,6.62,9.31,1
33,Other,Researcher,1.57,4.88,4.03,3
56,Female,Doctor,6.6,6.24,8.19,1
22,Female,Teacher,9.22,5.39,10.0,0
39,Male,Designer,5.09,5.8,6.6,0
46,Female,Student,1.96,5.13,2.62,3
20,Female,Software Engineer,1.77,5.67,6.27,4
29,Female,Researcher,3.54,8.11,4.64,2
43,Female,Freelancer,7.77,7.79,10.0,2
33,Male,Software Engineer,3.35,6.45,4.51,4
54,Female,Teacher,8.33,7.91,10.0,4
39,Female,Designer,8.38,8.88,8.77,1
46,Male,Doctor,5.11,6.03,3.82,1
31,Female,Freelancer,3.71,8.9,8.05,1
45,Female,Software Engineer,6.38,5.23,9.97,0
22,Female,Student,8.29,8.77,10.0,4
47,Male,Teacher,1.58,8.32,4.28,4
22,Female,Teacher,9.58,5.0,10.0,1
29,Other,Manager,6.81,5.75,10.0,4
33,Female,Teacher,4.58,7.54,5.72,0
43,Female,Student,5.55,4.96,8.39,4
43,Female,Teacher,4.47,6.95,3.99,2
38,Female,Researcher,4.71,6.67,6.8,0
56,Female,Doctor,6.36,5.46,9.6,1
53,Male,Manager,1.54,5.5,1.0,3
50,Male,Researcher,2.58,6.58,3.47,2
47,Male,Doctor,3.04,5.5,3.46,0
54,Male,Freelancer,4.67,4.9,7.31,3
40,Male,Designer,4.34,7.87,3.69,0
27,Male,Designer,7.5,6.91,10.0,2
22,Female,Freelancer,3.33,6.19,4.57,4
53,Male,Researcher,1.51,4.91,3.43,1
51,Male,Freelancer,1.5,6.97,1.81,0
48,Male,Researcher,1.1,7.14,4.28,1
27,Female,Researcher,1.34,6.4,2.46,0
36,Male,Doctor,8.73,5.86,10.0,0
49,Male,Student,7.28,8.34,6.76,3
18,Male,Manager,9.96,7.52,10.0,2
22,Female,Designer,1.18,5.78,4.75,0
21,Female,Researcher,8.64,6.97,10.0,3
33,Female,Teacher,7.26,5.17,7.68,2
41,Male,Freelancer,6.76,4.06,9.84,2
33,Female,Doctor,4.21,8.34,7.83,0
19,Female,Software Engineer,4.39,8.09,4.09,2
45,Male,Student,8.61,7.2,10.0,2
49,Male,Student,7.42,8.06,8.54,4
44,Male,Doctor,7.03,7.9,10.0,1
37,Female,Researcher,1.28,8.3,3.18,4
41,Male,Software Engineer,2.66,8.46,1.47,2
29,Male,Student,9.66,8.09,10.0,4
52,Female,Manager,5.09,8.26,6.12,4
50,Female,Designer,8.03,6.51,10.0,3
50,Female,Manager,4.5,7.54,5.24,1
54,Female,Software Engineer,7.88,5.67,8.39,0
29,Female,Manager,2.07,8.31,4.24,0
20,Female,Teacher,1.38,8.29,1.58,3
18,Male,Freelancer,5.2,4.33,4.11,0
50,Male,Freelancer,6.32,5.74,9.34,4
57,Female,Designer,3.91,4.86,6.52,2
27,Other,Software Engineer,7.44,4.68,9.5,4
46,Female,Doctor,5.46,6.07,5.78,4
30,Male,Researcher,9.35,7.13,10.0,3
29,Male,Student,1.76,5.72,2.34,1
48,Male,Designer,1.6,5.55,2.33,4
19,Female,Doctor,9.15,4.47,8.94,3
52,Female,Software Engineer,7.02,5.91,7.75,3
40,Female,Teacher,7.04,6.35,7.82,2
34,Female,Student,1.25,5.99,2.58,3
43,Male,Student,9.44,7.4,10.0,4
25,Male,Designer,7.95,5.44,8.6,0
46,Male,Doctor,7.88,7.58,10.0,0
43,Female,Freelancer,9.21,8.41,9.66,4
27,Male,Software Engineer,6.2,6.96,8.4,0
43,Female,Software Engineer,4.55,5.94,4.68,2
51,Female,Doctor,5.33,4.9,9.32,1
58,Male,Student,8.0,8.66,10.0,3
24,Male,Researcher,7.92,7.76,10.0,1
21,Male,Doctor,6.49,5.23,6.53,0
28,Female,Manager,2.96,4.75,4.14,1
46,Male,Freelancer,8.37,4.25,8.6,2
53,Male,Software Engineer,6.83,4.95,9.66,0
42,Female,Researcher,2.99,7.66,6.4,3
38,Female,Doctor,5.33,7.15,9.81,4
53,Female,Student,9.97,8.84,10.0,2
27,Female,Designer,3.96,5.61,2.86,0
54,Female,Researcher,2.05,7.93,1.63,2
26,Female,Manager,1.2,4.6,2.03,4
41,Male,Student,2.66,6.81,4.52,3
52,Male,Teacher,2.68,6.33,1.69,1
52,Female,Teacher,8.72,8.19,10.0,2
53,Female,Doctor,2.41,7.51,5.03,4
35,Female,Freelancer,8.76,4.97,10.0,2
56,Female,Freelancer,1.78,8.92,7.12,4
49,Female,Student,9.16,8.12,10.0,2
41,Male,Student,3.31,5.77,4.34,4
40,Male,Software Engineer,6.5,8.13,9.01,1
49,Male,Designer,2.44,8.78,4.66,2
54,Female,Manager,4.51,8.45,8.0,1
29,Male,Student,1.77,6.78,2.1,4
30,Male,Researcher,6.22,6.89,8.68,2
40,Male,Manager,4.11,4.53,8.08,2
42,Male,Doctor,8.67,4.82,10.0,4
52,Male,Software Engineer,2.64,8.91,6.59,1
58,Male,Freelancer,3.52,7.85,4.42,4
47,Female,Manager,2.6,4.13,2.17,3
34,Male,Manager,6.07,6.74,10.0,4
37,Male,Manager,2.01,5.73,3.09,1
42,Female,Manager,2.7,5.56,2.69,3
39,Female,Manager,7.11,6.78,9.85,3
30,Male,Freelancer,1.67,5.6,2.96,3
36,Male,Software Engineer,7.69,5.26,10.0,3
53,Female,Doctor,1.94,8.69,2.92,2
29,Male,Manager,6.27,4.2,8.04,0
58,Male,Manager,9.98,6.18,10.0,4
36,Male,Doctor,2.57,6.56,1.98,3
29,Male,Student,3.35,6.2,4.18,2
26,Female,Student,9.09,7.29,10.0,1
24,Female,Freelancer,6.64,4.13,5.91,3
45,Female,Software Engineer,5.43,8.42,8.59,3
31,Female,Software Engineer,6.06,6.5,8.07,1
48,Male,Designer,3.66,6.77,4.38,0
36,Female,Software Engineer,8.7,6.31,10.0,0
33,Male,Freelancer,7.71,6.22,8.11,2
22,Male,Doctor,6.78,4.93,8.01,1
52,Female,Manager,9.39,6.52,10.0,0
29,Female,Doctor,6.2,6.11,6.29,3
42,Male,Freelancer,5.61,6.34,4.8,3
38,Female,Designer,9.78,4.07,10.0,4
53,Male,Teacher,2.85,4.65,2.99,4
40,Male,Freelancer,2.28,7.82,4.57,0
33,Male,Freelancer,2.46,6.1,1.73,4
56,Female,Teacher,9.9,7.71,10.0,2
59,Female,Doctor,6.87,4.86,10.0,4
56,Female,Teacher,3.75,7.49,6.12,2
31,Male,Freelancer,3.24,5.45,3.89,3
48,Male,Freelancer,1.51,7.53,1.51,0
22,Female,Teacher,2.19,4.43,6.09,2
52,Male,Researcher,9.17,5.67,10.0,0
40,Male,Freelancer,7.73,4.6,6.73,4
46,Other,Designer,9.47,7.15,10.0,2
28,Female,Freelancer,4.81,5.96,8.33,1
35,Male,Freelancer,6.41,4.37,7.88,4
29,Male,Manager,5.35,6.63,4.59,0
26,Male,Software Engineer,8.93,4.12,10.0,4
27,Female,Software Engineer,9.92,8.09,10.0,3
34,Female,Teacher,9.39,8.69,10.0,1
55,Female,Student,6.38,8.05,5.45,0
24,Male,Designer,1.56,8.76,4.0,1
30,Male,Manager,6.56,8.49,9.1,1
57,Other,Manager,1.87,8.47,6.83,1
59,Other,Teacher,2.25,5.23,1.69,0
26,Female,Student,2.72,5.16,2.11,3
44,Male,Student,4.27,8.05,2.83,1
19,Female,Manager,6.33,6.46,7.2,1
22,Female,Designer,4.0,8.71,6.22,2
46,Female,Software Engineer,5.07,8.49,6.53,4
54,Female,Manager,1.43,8.47,2.69,0
55,Male,Researcher,6.58,5.63,8.15,0
36,Male,Researcher,6.91,4.66,10.0,4
25,Male,Freelancer,1.89,7.39,2.69,3
18,Female,Manager,8.07,6.2,10.0,2
39,Female,Freelancer,6.83,8.67,7.93,2
34,Female,Doctor,5.41,8.27,6.01,0
24,Male,Student,5.98,8.64,8.64,2
42,Female,Doctor,5.53,6.84,8.55,4
21,Female,Researcher,1.48,6.63,1.83,1
53,Male,Doctor,7.62,8.24,7.19,0
23,Female,Designer,5.61,6.56,8.58,0
48,Male,Researcher,2.56,8.5,2.68,0
36,Male,Manager,7.13,4.17,9.9,2
56,Male,Software Engineer,7.26,5.79,7.5,0
44,Female,Researcher,2.92,8.17,3.87,0
27,Female,Freelancer,8.17,5.05,10.0,3
43,Male,Freelancer,5.11,5.99,5.23,0
36,Female,Designer,2.63,4.05,2.67,4
56,Female,Student,6.92,5.51,10.0,2
20,Female,Software Engineer,6.37,5.59,7.14,0
30,Male,Manager,2.53,7.66,2.07,4
